46.42.145.34 - - [13/Aug/2020:14:35:14 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:14:35:17 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:14:35:17 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:14:35:23 +0000] "GET /cc HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:14:35:26 +0000] "GET /css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
185.150.189.165 - - [13/Aug/2020:14:39:09 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 153 "http://35.228.201.176:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0" "-"
185.150.189.165 - - [13/Aug/2020:14:39:09 +0000] "" 400 0 "-" "-" "-"
37.0.71.134 - - [13/Aug/2020:14:56:38 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:15:05:10 +0000] "GET /css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:05:38 +0000] "GET /index.html HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
69.25.58.61 - - [13/Aug/2020:15:05:43 +0000] "GET / HTTP/1.1" 200 209799 "-" "Mozilla/5.0 (Windows N\x5CT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.16" "-"
46.42.145.34 - - [13/Aug/2020:15:07:27 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:07:28 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
185.39.11.105 - - [13/Aug/2020:15:09:29 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 153 "http://35.228.201.176:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0" "-"
185.39.11.105 - - [13/Aug/2020:15:09:29 +0000] "" 400 0 "-" "-" "-"
46.42.145.34 - - [13/Aug/2020:15:13:29 +0000] "GET / HTTP/1.1" 200 209799 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/photoswipe.css HTTP/1.1" 200 4316 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /default-skin/default-skin.css HTTP/1.1" 200 12089 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/preloader.css HTTP/1.1" 200 4246 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/petrovproweb.css HTTP/1.1" 200 21091 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/menuButton.css HTTP/1.1" 200 2657 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /test/ReleaseTheKraken.js HTTP/1.1" 200 3569 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/menu.css HTTP/1.1" 200 1061 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/hiScreen.css HTTP/1.1" 200 1759 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/fullscreenSlider.css HTTP/1.1" 200 1142 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/parallax.css HTTP/1.1" 200 5503 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/aboutSection.css HTTP/1.1" 200 3303 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/cube3d.css HTTP/1.1" 200 2510 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
